Model,Dataset,Batch Size,Learning Rate,Zero Stage,Loss Function,Epochs,Epoch Progress,Throughput,CPU Usage,Memory Usage,GPU Usage,GPU Memory Usage,Total Training Time,Accuracy,Precision,Recall
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,8,932.58,35.53,31.22,16.94,4197.34,428.92,74.42,0.74,0.74
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,9,931.93,36.12,31.28,16.63,4197.12,482.87,76.09,0.76,0.76
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,10,931.48,35.61,31.37,16.73,4196.27,536.78,75.02,0.76,0.75
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,1,1004.06,39.42,36.03,16.33,5632.36,49.80,24.03,0.22,0.24
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,2,1016.15,39.80,36.15,18.60,5632.63,98.41,35.05,0.42,0.35
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,3,1021.86,39.69,36.12,15.72,5627.63,146.79,49.86,0.51,0.50
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,4,1026.48,39.27,36.17,18.47,5622.59,194.84,55.19,0.58,0.55
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,5,1029.38,39.36,36.17,17.33,5617.91,242.86,62.22,0.65,0.62
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,6,1029.83,39.36,36.15,15.11,5613.76,291.31,68.54,0.68,0.69
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,7,1030.59,39.11,36.13,17.74,5613.76,339.61,71.36,0.72,0.71
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,8,1029.59,39.18,36.16,15.54,5613.63,388.50,73.28,0.74,0.73
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,9,1031.36,38.91,36.12,20.36,5613.71,436.32,75.77,0.76,0.76
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,10,1032.11,39.65,36.10,18.20,5613.80,484.44,76.53,0.77,0.77
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,1,965.06,39.39,34.44,18.41,5645.47,51.81,17.70,0.12,0.18
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,2,986.96,39.12,35.08,16.60,5647.76,101.32,38.54,0.39,0.39
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,3,998.63,39.01,35.11,19.61,5647.59,150.21,48.52,0.51,0.49
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,4,1004.71,38.89,35.24,19.42,5647.71,199.06,54.34,0.58,0.54
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,5,1007.68,39.49,35.26,20.02,5644.73,248.09,55.85,0.59,0.56
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,6,1008.94,39.20,35.27,20.72,5648.79,297.34,66.34,0.66,0.66
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,7,1011.90,38.97,35.30,19.57,5648.71,345.89,69.41,0.70,0.69
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,8,1012.49,39.40,35.30,20.16,5648.59,395.07,72.09,0.72,0.72
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,9,1012.76,39.55,35.31,18.47,5648.63,444.33,73.14,0.74,0.73
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,10,1013.76,38.94,35.30,18.51,5648.76,493.21,74.84,0.75,0.75
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,1,1033.25,38.39,34.98,16.67,5613.14,48.39,25.34,0.18,0.25
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,2,1029.07,39.20,35.11,20.67,5613.59,97.18,46.66,0.48,0.47
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,3,1026.42,38.96,35.09,18.83,5613.51,146.14,52.30,0.52,0.52
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,4,1027.32,39.24,35.10,18.10,5613.67,194.68,59.33,0.60,0.59
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,5,1029.65,38.80,35.11,18.65,5613.76,242.80,64.58,0.65,0.65
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,6,1030.28,38.99,35.13,17.90,5613.76,291.18,69.02,0.69,0.69
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,7,1028.97,39.76,35.36,17.41,5613.86,340.14,71.00,0.71,0.71
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,8,1030.61,38.89,35.26,20.64,5612.20,388.12,73.46,0.74,0.73
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,9,1031.61,38.98,35.25,19.38,5612.24,436.21,74.27,0.75,0.74
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,10,1032.91,39.20,35.30,18.35,5605.86,484.07,76.40,0.76,0.76
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,1,1011.26,39.23,35.28,18.42,5635.66,49.44,10.00,0.01,0.10
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,2,1020.95,39.15,36.10,18.95,5630.67,97.95,13.93,0.12,0.14
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,3,1025.43,39.05,36.17,20.24,5628.67,146.28,33.88,0.36,0.34
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,4,1024.95,38.64,36.14,19.04,5628.71,195.13,43.13,0.46,0.43
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,5,1024.99,38.72,36.15,19.86,5628.71,243.91,53.78,0.55,0.54
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,6,1025.96,38.78,36.21,19.15,5628.88,292.41,57.68,0.59,0.58
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,7,1026.15,38.58,36.21,18.58,5628.71,341.08,61.65,0.62,0.62
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,8,1026.76,38.73,36.19,19.51,5642.21,389.57,63.14,0.65,0.63
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,9,1026.31,38.91,36.19,19.62,5645.67,438.46,65.70,0.67,0.66
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,10,1026.17,38.99,36.19,18.05,5646.22,487.25,69.23,0.69,0.69
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,1,918.47,35.75,30.02,16.22,4280.20,54.44,5.22,0.02,0.05
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,2,923.81,36.13,30.73,16.22,4283.67,108.25,14.08,0.15,0.14
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,3,925.55,36.10,30.80,16.27,4283.59,162.07,23.79,0.26,0.24
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,4,926.20,35.73,30.81,16.22,4283.67,215.93,29.56,0.33,0.30
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,5,926.93,35.45,30.80,16.30,4283.66,269.71,34.03,0.37,0.34
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,6,927.04,35.55,30.82,16.27,4283.67,323.61,39.99,0.42,0.40
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,7,925.34,35.89,30.88,15.70,4283.67,378.24,42.89,0.45,0.43
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,8,925.01,35.87,31.08,15.96,4283.10,432.43,45.55,0.48,0.46
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,9,925.03,35.59,31.19,16.08,4277.43,486.47,46.86,0.49,0.47
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,10,924.31,35.56,31.21,15.83,4279.40,540.95,48.75,0.50,0.49
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,1,906.32,34.90,31.09,15.96,4168.33,55.17,4.97,0.03,0.05
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,2,909.07,35.25,31.43,16.15,4158.58,110.00,16.13,0.15,0.16
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,3,911.26,35.10,31.47,16.36,4154.19,164.61,24.07,0.27,0.24
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,4,911.56,35.00,31.49,16.11,4153.56,219.40,30.85,0.34,0.31
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,5,912.01,34.87,31.48,16.21,4153.66,274.12,34.17,0.36,0.34
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,6,913.02,34.44,31.49,16.35,4153.53,328.58,36.42,0.40,0.36
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,7,912.33,34.57,31.48,15.99,4153.65,383.63,41.21,0.45,0.41
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,8,912.50,34.47,31.48,16.10,4164.50,438.36,45.28,0.48,0.45
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,9,911.17,34.54,31.41,15.62,4173.56,493.87,46.97,0.49,0.47
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,10,911.05,34.51,31.45,16.00,4173.65,548.82,46.86,0.48,0.47
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,1,904.75,34.56,30.61,15.70,4280.29,55.26,5.28,0.01,0.05
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,2,910.66,34.66,30.95,15.82,4283.55,109.81,13.07,0.14,0.13
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,3,911.31,34.72,30.97,15.57,4283.65,164.60,21.18,0.22,0.21
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,4,913.74,34.60,30.97,15.94,4283.66,218.88,26.17,0.26,0.26
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,5,914.79,34.73,30.96,15.85,4283.67,273.29,29.51,0.31,0.30
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,6,914.35,34.91,30.98,15.55,4283.65,328.10,30.49,0.34,0.30
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,7,913.72,35.13,30.97,15.58,4283.65,383.05,35.19,0.37,0.35
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,8,913.17,34.99,30.99,15.42,4283.59,438.04,36.46,0.39,0.36
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,9,912.56,34.97,30.98,15.42,4283.56,493.12,38.16,0.40,0.38
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,10,912.48,34.58,30.97,15.60,4274.76,547.96,40.22,0.41,0.40
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,1,895.78,34.53,31.07,15.48,4155.61,55.82,1.50,0.00,0.01
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,2,900.12,34.75,31.42,15.82,4157.37,111.10,4.11,0.01,0.04
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,3,899.45,34.59,31.46,15.64,4157.37,166.77,10.14,0.09,0.10
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,4,900.84,34.31,31.49,15.84,4157.43,222.02,15.07,0.15,0.15
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,5,900.88,34.39,31.51,15.68,4157.39,277.51,19.20,0.18,0.19
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,6,899.61,34.35,31.50,15.41,4157.39,333.48,22.55,0.24,0.23
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,7,899.79,34.17,31.50,15.68,4157.18,388.98,26.16,0.26,0.26
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,8,899.59,34.36,31.50,15.59,4156.59,444.65,27.32,0.29,0.27
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,9,899.44,33.99,31.48,15.55,4156.72,500.31,29.59,0.30,0.30
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,10,899.01,34.43,31.51,15.49,4166.15,556.17,30.78,0.31,0.31
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,1,1017.26,37.98,35.10,20.47,5610.43,49.15,2.46,0.00,0.02
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,2,1026.04,38.40,35.30,19.22,5615.48,97.46,9.20,0.05,0.09
AlexNet,CIFAR100,512,0.0005,0,CrossEntropy,10,3,1026.14,38.47,35.60,22.14,5617.12,146.18,16.36,0.17,0.16
